josé mourinho	mourinho
517215248525176832	[RTP Noticias] José Mourinho acredita no Sporting http://t.co/YCGbXioYUZ	485975606
517050940575084544	RT @Pedromvfranco: Mas que grande atitude José Mourinho.	66122167
517050959919194112	RT @Pedromvfranco: Mas que grande atitude José Mourinho.	173140222
528558743252779008	José Mourinho recorda passagem por Leiria http://t.co/rvVtFFb345	73249951
544609505158635520	Desejo de José Mourinho cumpriu-se http://t.co/Bo6ks2qT7O	29690355
555832332339654657	RT @BigJohnTerry: Jose Mourinho right now... http://t.co/I6aQwtfmG0	52593709
551796173665599488	RT @AAABORODE: Jose Mourinho! You can't hate his talent!	372138721
551795570051141632	RT @AAABORODE: Jose Mourinho! You can't hate his talent!	243254547
552936868724359168	José Mourinho - Por qué?: http://t.co/u2QMy0mbcg esepenal @Osnilead	48842977
548560640290222080	José Mourinho: "É importante sentirmo-nos felizes" http://t.co/XHKQZmT8rh	73249951
549276609325584385	José Mourinho: "Árbitro devia estar envergonhado" http://t.co/TMNqYXP1bI	76695506
549266475463098368	José Mourinho: "Árbitro devia estar envergonhado" http://t.co/Yttg5lBIB7	73249951
542500227345686528	José Mourinho quer Sporting apurado http://t.co/MPKc0CXSyV #dnoticias	22905057
555489360565788672	RT @ramonnolasco7: José Mourinho, melhor treinador do século! #QuinasDeOuro	164935953
572111281496457216	José Mourinho vence Taça da Liga inglesa. Parabéns.	19973332
572318252086370305	Mauricio Pochettino rendido a José Mourinho http://t.co/T8u0tHZpnt	73249951
572329499548766208	José Mourinho: "Quis matar o Silvino" http://t.co/BBsbQQuqij	73249951
572301994095972353	Mauricio Pochettino rendido a José Mourinho http://t.co/7ce0M2ZIL9	447397227
572538622550904832	José Mourinho esqueceu-se da sua postura! http://t.co/XGtFy1s4i7	107181968
572406790308151296	RT @Mourinholic: Jose Mourinho and Rui Faria. http://t.co/FfnJfdCiA6	127690935
580531848394219521	Quando o José Mourinho convida o teu pai para almoçar	523328731
576445665628192768	José Mourinho é para renovar http://t.co/KswJaPFpQd	229821499
576356170421637120	RT @TSBible: Pure class from Jose Mourinho... https://t.co/yVzBq8tNJp	14321207
576450943627042816	[Relvado] José Mourinho é para renovar http://t.co/IJVv4PKENH #desporto	485975606
575819174318063616	@filipecosta91 José Mourinho can go back to Portugal : LOSER !	130927583
559083901323210752	[Sol] José Mourinho "envergonhado" com derrota histórica http://t.co/WeOrNmZtci	485975606
569051734766714880	"JJ que não brinque com o meu trabalho" - José Mourinho	29833593
569051550888423424	"Não queremos o Talisca para nada" - José Mourinho	29833593
572115260091588609	RT @TipsFutbol: Simplemente José Mourinho: http://t.co/Vs3LE2SAS0	33050022
578517377844826112	[Record] José Mourinho out http://t.co/ZQyWtuCx0M #desporto	485975606
575800758836273152	RT @GeniusFootball: Jose Mourinho be like http://t.co/inUwnmvcnv	30223081
575783111436464128	RT @ltsSundayLeague: José Mourinho right now... http://t.co/626w88Wiys	339297495
575782681365102592	RT @GeniusFootball: Jose Mourinho be like http://t.co/inUwnmvcnv	186162856
