0	vitoria	rui	presidente	jogo	jeronimo	es	joao	diz	dizer
1	melhor	agora	quer	carvalho	portas	hoje	grande	diz	dizer
2	silva	diz	amp	diario	dizer	doce	el	en	es
3	espirito	santo	aqui	tudo	dia	fcporto	diz	dizer	doce
4	paulo	bento	anos	amp	es	desporto	vou	fcportoworld	el
5	carregabenfica	ainda	anos	dia	porto	martins	jesus	fcporto	doce
6	amp	quer	anos	costa	tudo	passos	vou	fazer	doce
7	porto	jesus	hoje	ronaldo	sporting	vou	es	diario	diz
8	grande	cristiano	contra	jose	fcporto	doce	el	en	es
9	jesus	jorge	tao	fcporto	diz	dizer	doce	el	en
10	el	en	del	video	cristiano	sobre	vou	fcporto	dizer
11	vai	lisboa	joao	vou	fcporto	dizer	doce	el	en
12	dia	presidente	tudo	benfica	paulo	fazer	diz	dizer	doce
13	cristiano	real	benfica	jose	vou	fcporto	doce	el	en
14	portas	paulo	todos	fazer	diz	dizer	doce	el	en
15	fcporto	fcportoworld	ainda	tudo	vou	dizer	doce	el	en
16	el	en	del	portugal	vou	diz	dizer	doce	es
17	jornal	nada	contra	dizer	fcporto	doce	el	en	es
18	marcelo	rebelo	sousa	presidente	vou	fazer	diz	dizer	doce
19	hoje	dia	anos	contra	jogo	aqui	cristiano	fcporto	el
20	futebol	desporto	vou	fcporto	dizer	doce	el	en	es
21	portugal	ano	aqui	fcporto	diz	dizer	doce	el	en
22	todos	benfica	desporto	pais	mendes	coelho	sobre	hoje	fazer
23	sobre	porque	cristiano	fcporto	dizer	doce	el	en	es
24	la	en	el	vou	fcportoworld	dizer	doce	es	espirito
25	porque	cristiano	dizer	tudo	vou	fcporto	doce	el	en
26	cristiano	mundo	porto	vou	fcporto	dizer	doce	el	en
27	del	la	el	antonio	jesus	vou	fcporto	doce	en
28	antonio	costa	benfica	vou	fcportoworld	doce	el	en	es
29	dia	noticias	real	bruno	joao	jornal	antonio	fcportoworld	el
30	video	porque	jogo	quer	dizer	porto	espirito	diario	diz
31	vitoria	rui	jogo	fazer	fcporto	dizer	doce	el	en
32	melhor	noticias	pinto	fcporto	dizer	doce	el	en	es
33	jorge	mendes	todos	melhor	fcportoworld	dizer	doce	el	en
34	vez	jesus	todos	futebol	ir	fazer	diz	dizer	doce
35	real	cristiano	portugal	mendes	fazer	diz	dizer	doce	el
36	desporto	porto	lisboa	passos	ainda	vou	fazer	dizer	doce
37	vez	todos	es	jorge	benfica	vou	fcporto	dizer	doce
38	agora	porque	jorge	jesus	espirito	diz	dizer	joao	doce
39	pinto	costa	dia	diario	dizer	doce	el	en	es
40	ps	ano	contra	ainda	vai	pingo	vou	fazer	doce
41	cristiano	real	portugal	jeronimo	pingo	noticias	dizer	doce	el
42	ano	porto	fcporto	diz	dizer	doce	el	en	es
43	diz	ronaldo	jorge	diario	dizer	doce	el	en	es
44	sporting	dizer	sobre	pingo	fcporto	diz	doce	el	en
45	portugal	fcporto	quer	real	espirito	diario	diz	dizer	doce
46	tudo	agora	carregabenfica	fcporto	dizer	doce	el	en	es
47	portas	paulo	porque	futebol	vou	espirito	dizer	doce	el
48	agora	fazer	la	costa	fcporto	dizer	doce	el	en
49	hoje	video	benfica	ir	vou	fcporto	dizer	doce	el
50	passos	coelho	portugal	diario	dizer	doce	el	en	es
51	tao	costa	vou	fcporto	dizer	doce	el	en	es
52	jesus	jorge	fcportoworld	ps	fazer	diz	dizer	doce	el
53	dia	bem	portas	fcporto	dizer	doce	el	en	es
54	benfica	dia	la	fcportoworld	dizer	doce	el	en	es
55	mundo	sempre	ps	presidente	sobre	noticias	diz	dizer	doce
56	martins	catarina	vou	fcporto	dizer	doce	el	en	es
57	porque	ainda	dizer	marcelo	ver	sobre	noticias	fazer	diz
58	cristiano	ronaldo	marcelo	vou	fcporto	dizer	doce	el	en
